LOCATION CODE,SAMPLE TYPE,SAMPLE LOCATION,SAMPLING FREQUENCY,SAMPLING DATE,ISOTOPE NAME,VALUE,UNITS,GRAPH VALUE,COMMENT
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-16,IODINE-131,<0.5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-16,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-16,RADIUM-224,6.5+/-1,pCi/1000M3,6.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-16,RUTHENIUM-106,<1.3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-16,ZIRCONIUM-95,<0.2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,BERYLLIUM-7,66+/-10,pCi/1000M3,66,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,CESIUM-134,<0.3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,CESIUM-137,<0.2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,GROSS BETA,11.1+/-1.4,pCi/1000M3,11.1,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,IODINE-131,10.4+/-1.8,pCi/1000M3,10.4,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,IODINE-131,22+/-2,pCi/1000M3,22,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,RADIUM-224,6+/-1.2,pCi/1000M3,6,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,RUTHENIUM-106,<1.9,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-23,ZIRCONIUM-95,<0.4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,BERYLLIUM-7,140+/-16,pCi/1000M3,140,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,CESIUM-134,<0.5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,CESIUM-137,<0.6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,GROSS BETA,14.2+/-1.7,pCi/1000M3,14.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,IODINE-131,19+/-3,pCi/1000M3,19,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,IODINE-131,29+/-3,pCi/1000M3,29,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,RUTHENIUM-106,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-03-29,ZIRCONIUM-95,<1.1,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-03-31,GROSS ALPHA,<1.4,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-03-31,GROSS BETA,2.2+/-1.4,pCi/L,2.2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-03-31,TRITIUM (HTO),<150,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,BERYLLIUM-7,510+/-70,pCi/1000M3,510,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,CESIUM-134,24+/-5,pCi/1000M3,24,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,CESIUM-137,24+/-6,pCi/1000M3,24,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,GROSS BETA,18.8+/-1.8,pCi/1000M3,18.8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,IODINE-131,123+/-14,pCi/1000M3,123,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,IODINE-131,81+/-7,pCi/1000M3,81,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,POTASSIUM-40,32+/-8,pCi/1000M3,32,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,RUTHENIUM-106,<15,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-06,ZIRCONIUM-95,<4,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-04-06,GROSS ALPHA,<1.3,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-04-06,GROSS BETA,<1.2,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-04-06,TRITIUM (HTO),<150,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,BERYLLIUM-7,66+/-10,pCi/1000M3,66,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,CESIUM-134,1.4+/-1,pCi/1000M3,1.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,CESIUM-137,1.1+/-0.7,pCi/1000M3,1.1,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,GROSS BETA,13.5+/-1.7,pCi/1000M3,13.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,IODINE-131,4.4+/-1.6,pCi/1000M3,4.4,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,IODINE-131,33+/-4,pCi/1000M3,33,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,RUTHENIUM-106,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-12,ZIRCONIUM-95,<0.5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,BERYLLIUM-7,550+/-50,pCi/1000M3,550,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,CESIUM-134,8+/-2,pCi/1000M3,8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,CESIUM-137,8+/-3,pCi/1000M3,8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,GROSS BETA,10.6+/-1.3,pCi/1000M3,10.6,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,IODINE-131,14+/-6,pCi/1000M3,14,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,IODINE-131,9+/-1.9,pCi/1000M3,9,Small spike in activity due to Fukushima; similar spikes were seen in air samples for all NYS locations during this time period. 
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,POTASSIUM-40,15+/-3,pCi/1000M3,15,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,RADIUM-226 (BI-214),5+/-2,pCi/1000M3,5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,RUTHENIUM-106,<10,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-20,ZIRCONIUM-95,<1.9,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,BERYLLIUM-7,62+/-12,pCi/1000M3,62,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,CESIUM-134,<0.7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,CESIUM-137,<1.2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,GROSS BETA,8.4+/-1.4,pCi/1000M3,8.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,IODINE-131,<0.6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,IODINE-131,<1.1,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,RUTHENIUM-106,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-04-27,ZIRCONIUM-95,<1.1,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-04-29,GROSS ALPHA,<1.6,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-04-29,GROSS BETA,<1.1,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-04-29,TRITIUM (HTO),<140,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,BERYLLIUM-7,45+/-16,pCi/1000M3,45,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,CESIUM-134,<0.7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,CESIUM-137,<0.6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,GROSS BETA,4.7+/-1.2,pCi/1000M3,4.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,IODINE-131,<1.6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,IODINE-131,<0.7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,RUTHENIUM-106,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-03,ZIRCONIUM-95,<0.9,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-05-03,GROSS ALPHA,<1.6,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-05-03,GROSS BETA,1.8+/-1.2,pCi/L,1.8,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-05-03,TRITIUM (HTO),<140,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-12,GROSS BETA,6.4+/-0.9,pCi/1000M3,6.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-12,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-18,GROSS BETA,4.8+/-1.1,pCi/1000M3,4.8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-18,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-25,GROSS BETA,4.1+/-0.9,pCi/1000M3,4.1,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-05-25,IODINE-131,<2,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-05-31,GROSS ALPHA,<1.5,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-05-31,GROSS BETA,2+/-1.4,pCi/L,2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-05-31,TRITIUM (HTO),<120,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-01,GROSS BETA,10.9+/-1.4,pCi/1000M3,10.9,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-01,IODINE-131,<3,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-06-01,GROSS ALPHA,<1.1,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-06-01,GROSS BETA,<1.2,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-06-01,TRITIUM (HTO),<120,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-09,GROSS BETA,12.7+/-1.5,pCi/1000M3,12.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-09,IODINE-131,<1.8,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-14,GROSS BETA,6.4+/-1.6,pCi/1000M3,6.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-14,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-29,GROSS BETA,5.3+/-0.7,pCi/1000M3,5.3,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-06-29,IODINE-131,<2,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-06-30,GROSS ALPHA,<1.8,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-06-30,GROSS BETA,1.6+/-1.4,pCi/L,1.6,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-06-30,TRITIUM (HTO),<110,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-06,GROSS BETA,7.4+/-1.3,pCi/1000M3,7.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-06,IODINE-131,<4,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-07-06,GROSS ALPHA,<2,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-07-06,GROSS BETA,<1.4,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-07-06,TRITIUM (HTO),<110,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-13,GROSS BETA,11.7+/-1.5,pCi/1000M3,11.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-13,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-20,GROSS BETA,9.4+/-1.4,pCi/1000M3,9.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-20,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-27,GROSS BETA,12.2+/-1.7,pCi/1000M3,12.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-07-27,IODINE-131,<4,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-07-29,GROSS ALPHA,<0.7,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-07-29,GROSS BETA,<1.3,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-07-29,TRITIUM (HTO),<90,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-03,GROSS BETA,10+/-1.5,pCi/1000M3,10,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-03,IODINE-131,<3,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-08-03,GROSS ALPHA,<0.8,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-08-03,GROSS BETA,<1.5,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-08-03,TRITIUM (HTO),<110,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-10,GROSS BETA,11.6+/-1.5,pCi/1000M3,11.6,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-10,IODINE-131,<2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-17,GROSS BETA,7.3+/-1.1,pCi/1000M3,7.3,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-17,IODINE-131,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-24,GROSS BETA,13.8+/-1.6,pCi/1000M3,13.8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-08-24,IODINE-131,<3,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-08-31,GROSS BETA,<1.4,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-08-31,GROSS ALPHA,<0.7,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-08-31,TRITIUM (HTO),<110,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-01,GROSS BETA,9.1+/-1.2,pCi/1000M3,9.1,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-01,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-01,GROSS BETA,9.1+/-1.2,pCi/1000M3,9.1,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-01,IODINE-131,<3,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-09-01,GROSS BETA,<1.8,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-09-01,GROSS ALPHA,<1.9,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-09-01,TRITIUM (HTO),<100,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-07,GROSS BETA,11.5+/-1.6,pCi/1000M3,11.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-07,IODINE-131,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-14,GROSS BETA,9+/-1.2,pCi/1000M3,9,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-14,IODINE-131,<2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-20,GROSS BETA,8.6+/-1.3,pCi/1000M3,8.6,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-20,IODINE-131,<7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-29,GROSS BETA,11.1+/-1.3,pCi/1000M3,11.1,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-09-29,IODINE-131,<2,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-09-30,GROSS BETA,2.2+/-1.5,pCi/L,2.2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-09-30,GROSS ALPHA,<2,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-09-30,TRITIUM (HTO),<90,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-06,GROSS BETA,7.7+/-1.2,pCi/1000M3,7.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-06,IODINE-131,<4,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-10-06,GROSS BETA,<1.6,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-10-06,GROSS ALPHA,<1.6,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2011-10-06,TRITIUM (HTO),<50,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-12,GROSS BETA,26+/-3,pCi/1000M3,26,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-12,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-19,GROSS BETA,10.2+/-1.3,pCi/1000M3,10.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-19,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-26,GROSS BETA,6.8+/-1.1,pCi/1000M3,6.8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2011-10-26,IODINE-131,<5,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-10-31,GROSS BETA,<2,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-10-31,GROSS ALPHA,<1.4,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2011-10-31,TRITIUM (HTO),<50,pCi/L,0,
